[ 2025-09-17 04:12:56,863 ] 17 root - INFO - Initiate the data ingestion
[ 2025-09-17 04:13:00,060 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-17 04:13:00,060 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-17 04:13:00,061 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-17 04:13:00,221 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-17 04:13:00,222 ] 19 root - INFO - Data Initiation Completed
[ 2025-09-17 04:13:00,230 ] 23 root - INFO - Initiate the data Validation
[ 2025-09-17 04:13:00,350 ] 33 root - INFO - Required number of columns:2
[ 2025-09-17 04:13:00,351 ] 34 root - INFO - Data frame has columns:31
[ 2025-09-17 04:13:00,351 ] 33 root - INFO - Required number of columns:2
[ 2025-09-17 04:13:00,351 ] 34 root - INFO - Data frame has columns:31
[ 2025-09-17 04:13:00,707 ] 25 root - INFO - data Validation Completed
